Model,MSO68B
Channel,CH2
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,13750
Zero Index,7287.51171875
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-3.080000

Labels,
TIME,CH2
-1.16600187e-06,1.18750000e+00
-1.16584187e-06,1.25187500e+00
-1.16568187e-06,1.11812500e+00
-1.16552187e-06,9.46250000e-01
-1.16536187e-06,9.50625000e-01
-1.16520188e-06,1.02312500e+00
-1.16504188e-06,9.78125000e-01
-1.16488187e-06,8.93125000e-01
-1.16472187e-06,8.71250000e-01
-1.16456187e-06,8.71875000e-01
-1.16440187e-06,8.36250000e-01
-1.16424187e-06,7.93750000e-01
-1.16408188e-06,8.17500000e-01
-1.16392188e-06,8.53125000e-01
-1.16376187e-06,7.93750000e-01
-1.16360187e-06,6.43750000e-01
-1.16344187e-06,5.73750000e-01
-1.16328187e-06,6.10000000e-01
-1.16312187e-06,6.67500000e-01
-1.16296188e-06,6.86250000e-01
-1.16280188e-06,6.72500000e-01
-1.16264187e-06,6.03125000e-01
-1.16248187e-06,4.83750000e-01
-1.16232187e-06,4.41875000e-01
-1.16216187e-06,5.03125000e-01
-1.16200187e-06,5.29375000e-01
-1.16184188e-06,4.90000000e-01
-1.16168188e-06,4.88125000e-01
-1.16152187e-06,4.80625000e-01
-1.16136187e-06,4.18125000e-01
-1.16120187e-06,3.86250000e-01
-1.16104187e-06,3.88125000e-01
-1.16088187e-06,3.38750000e-01
-1.16072188e-06,2.61875000e-01
-1.16056187e-06,2.30625000e-01
-1.16040187e-06,2.86875000e-01
-1.16024187e-06,3.21875000e-01
-1.16008187e-06,3.02500000e-01
-1.15992187e-06,2.00000000e-01
-1.15976187e-06,7.12500000e-02
-1.15960188e-06,4.00000000e-02
-1.15944187e-06,4.50000000e-02
-1.15928187e-06,1.44375000e-01
-1.15912187e-06,2.66875000e-01
-1.15896187e-06,1.76875000e-01
-1.15880187e-06,-1.06250000e-02
-1.15864187e-06,-5.25000000e-02
-1.15848188e-06,3.56250000e-02
-1.15832187e-06,8.00000000e-02
-1.15816187e-06,6.50000000e-02
-1.15800187e-06,7.31250000e-02
-1.15784187e-06,8.31250000e-02
-1.15768187e-06,1.62500000e-02
-1.15752187e-06,-5.31250000e-02
-1.15736188e-06,-5.12500000e-02
-1.15720187e-06,-3.37500000e-02
-1.15704187e-06,-5.43750000e-02
-1.15688187e-06,-6.68750000e-02
-1.15672187e-06,-4.75000000e-02
-1.15656187e-06,-1.62500000e-02
-1.15640187e-06,2.93750000e-02
-1.15624188e-06,3.93750000e-02
-1.15608187e-06,2.81250000e-02
-1.15592187e-06,-3.12500000e-03
-1.15576187e-06,-2.25000000e-02
-1.15560187e-06,3.75000000e-02
-1.15544187e-06,9.62500000e-02
-1.15528187e-06,4.75000000e-02
-1.15512188e-06,-4.00000000e-02
-1.15496187e-06,-1.16250000e-01
-1.15480187e-06,-1.93125000e-01
-1.15464187e-06,-1.41250000e-01
-1.15448187e-06,-7.50000000e-03
-1.15432187e-06,5.75000000e-02
-1.15416187e-06,6.43750000e-02
-1.15400188e-06,6.31250000e-02
-1.15384187e-06,-3.12500000e-03
-1.15368187e-06,-5.50000000e-02
-1.15352187e-06,-5.62500000e-03
-1.15336187e-06,-6.25000000e-04
-1.15320187e-06,1.06250000e-02
-1.15304187e-06,2.43750000e-02
-1.15288188e-06,3.75000000e-03
-1.15272187e-06,-5.50000000e-02
-1.15256187e-06,-5.81250000e-02
-1.15240187e-06,5.18750000e-02
-1.15224187e-06,1.20000000e-01
-1.15208187e-06,8.87500000e-02
-1.15192187e-06,1.03125000e-01
-1.15176188e-06,1.49375000e-01
-1.15160187e-06,2.10625000e-01
-1.15144187e-06,2.48750000e-01
-1.15128187e-06,2.06875000e-01
-1.15112187e-06,2.34375000e-01
-1.15096187e-06,2.65625000e-01
-1.15080187e-06,2.65000000e-01
-1.15064188e-06,3.00625000e-01
-1.15048187e-06,3.27500000e-01
-1.15032187e-06,3.03125000e-01
-1.15016187e-06,3.87500000e-01
-1.15000187e-06,4.87500000e-01
-1.14984187e-06,4.87500000e-01
-1.14968187e-06,4.76875000e-01
-1.14952188e-06,4.66250000e-01
-1.14936187e-06,4.63125000e-01
-1.14920187e-06,4.97500000e-01
-1.14904187e-06,5.65625000e-01
-1.14888187e-06,5.50625000e-01
-1.14872187e-06,5.50000000e-01
-1.14856187e-06,5.71875000e-01
-1.14840188e-06,5.81250000e-01
-1.14824187e-06,6.45000000e-01
-1.14808187e-06,6.69375000e-01
-1.14792187e-06,6.41250000e-01
-1.14776187e-06,6.66250000e-01
-1.14760187e-06,7.60625000e-01
-1.14744187e-06,8.33750000e-01
-1.14728188e-06,8.53750000e-01
-1.14712187e-06,8.13750000e-01
-1.14696187e-06,7.92500000e-01
-1.14680187e-06,8.38750000e-01
-1.14664187e-06,8.45625000e-01
-1.14648187e-06,8.05625000e-01
-1.14632187e-06,8.45000000e-01
-1.14616188e-06,9.24375000e-01
-1.14600187e-06,9.57500000e-01
-1.14584187e-06,1.02687500e+00
-1.14568187e-06,1.09625000e+00
-1.14552187e-06,1.13125000e+00
-1.14536187e-06,1.08187500e+00
-1.14520187e-06,1.03562500e+00
-1.14504188e-06,1.04562500e+00
-1.14488187e-06,1.12812500e+00
-1.14472187e-06,1.25375000e+00
-1.14456187e-06,1.28187500e+00
-1.14440187e-06,1.20625000e+00
-1.14424187e-06,1.15062500e+00
-1.14408187e-06,1.13187500e+00
-1.14392188e-06,1.20812500e+00
-1.14376187e-06,1.33625000e+00
-1.14360187e-06,1.31687500e+00
-1.14344187e-06,1.24312500e+00
-1.14328187e-06,1.23750000e+00
-1.14312187e-06,1.30750000e+00
-1.14296187e-06,1.40875000e+00
-1.14280188e-06,1.45500000e+00
-1.14264187e-06,1.40375000e+00
-1.14248187e-06,1.33187500e+00
-1.14232187e-06,1.35687500e+00
-1.14216187e-06,1.37687500e+00
-1.14200187e-06,1.30500000e+00
-1.14184187e-06,1.32687500e+00
-1.14168188e-06,1.44250000e+00
-1.14152187e-06,1.47000000e+00
-1.14136187e-06,1.44687500e+00
-1.14120187e-06,1.47750000e+00
-1.14104187e-06,1.49437500e+00
-1.14088187e-06,1.53750000e+00
-1.14072187e-06,1.58687500e+00
-1.14056188e-06,1.60937500e+00
-1.14040187e-06,1.65250000e+00
-1.14024187e-06,1.64000000e+00
-1.14008187e-06,1.55000000e+00
-1.13992187e-06,1.51187500e+00
-1.13976187e-06,1.56062500e+00
-1.13960187e-06,1.59812500e+00
-1.13944188e-06,1.58187500e+00
-1.13928187e-06,1.57000000e+00
-1.13912187e-06,1.57937500e+00
-1.13896187e-06,1.60937500e+00
-1.13880187e-06,1.64375000e+00
-1.13864187e-06,1.60437500e+00
-1.13848187e-06,1.55250000e+00
-1.13832188e-06,1.62250000e+00
-1.13816187e-06,1.66812500e+00
-1.13800187e-06,1.62062500e+00
-1.13784187e-06,1.61000000e+00
-1.13768187e-06,1.62375000e+00
-1.13752187e-06,1.61687500e+00
-1.13736187e-06,1.64625000e+00
-1.13720188e-06,1.66875000e+00
-1.13704187e-06,1.67250000e+00
-1.13688187e-06,1.60500000e+00
-1.13672187e-06,1.50625000e+00
-1.13656187e-06,1.54250000e+00
-1.13640187e-06,1.61687500e+00
-1.13624187e-06,1.56250000e+00
-1.13608188e-06,1.47750000e+00
-1.13592187e-06,1.40687500e+00
-1.13576187e-06,1.37937500e+00
-1.13560187e-06,1.43812500e+00
-1.13544187e-06,1.45687500e+00
-1.13528187e-06,1.44875000e+00
-1.13512187e-06,1.52187500e+00
-1.13496188e-06,1.58562500e+00
-1.13480187e-06,1.57125000e+00
-1.13464187e-06,1.51500000e+00
-1.13448187e-06,1.45062500e+00
-1.13432187e-06,1.48812500e+00
-1.13416187e-06,1.54500000e+00
-1.13400187e-06,1.56625000e+00
-1.13384188e-06,1.51250000e+00
-1.13368187e-06,1.38375000e+00
-1.13352187e-06,1.30437500e+00
-1.13336187e-06,1.24187500e+00
-1.13320187e-06,1.20437500e+00
-1.13304187e-06,1.22000000e+00
-1.13288187e-06,1.26187500e+00
-1.13272188e-06,1.26312500e+00
-1.13256187e-06,1.25125000e+00
-1.13240187e-06,1.27375000e+00
-1.13224187e-06,1.31062500e+00
-1.13208187e-06,1.30000000e+00
-1.13192187e-06,1.25937500e+00
-1.13176187e-06,1.21687500e+00
-1.13160188e-06,1.18812500e+00
-1.13144187e-06,1.18437500e+00
-1.13128187e-06,1.15312500e+00
-1.13112187e-06,1.15687500e+00
-1.13096187e-06,1.17750000e+00
-1.13080187e-06,1.14312500e+00
-1.13064187e-06,1.11875000e+00
-1.13048188e-06,1.10875000e+00
-1.13032187e-06,1.05312500e+00
-1.13016187e-06,1.03250000e+00
-1.13000187e-06,1.01812500e+00
-1.12984187e-06,9.48125000e-01
-1.12968187e-06,9.57500000e-01
-1.12952187e-06,9.71875000e-01
-1.12936188e-06,8.87500000e-01
-1.12920187e-06,7.96875000e-01
-1.12904187e-06,7.34375000e-01
-1.12888187e-06,7.39375000e-01
-1.12872187e-06,8.40625000e-01
-1.12856187e-06,9.08125000e-01
-1.12840187e-06,8.30000000e-01
-1.12824188e-06,7.00625000e-01
-1.12808187e-06,6.85625000e-01
-1.12792187e-06,7.38125000e-01
-1.12776187e-06,7.14375000e-01
-1.12760187e-06,7.10000000e-01
-1.12744187e-06,7.23750000e-01
-1.12728187e-06,6.28125000e-01
-1.12712188e-06,5.50000000e-01
-1.12696187e-06,5.48750000e-01
-1.12680187e-06,5.01875000e-01
-1.12664187e-06,4.28125000e-01
-1.12648187e-06,4.36250000e-01
-1.12632187e-06,5.10000000e-01
-1.12616187e-06,5.36250000e-01
-1.12600188e-06,4.98750000e-01
-1.12584187e-06,4.03750000e-01
-1.12568187e-06,3.38125000e-01
-1.12552187e-06,3.51875000e-01
-1.12536187e-06,4.18125000e-01
-1.12520187e-06,4.23125000e-01
-1.12504187e-06,3.91875000e-01
-1.12488188e-06,3.71875000e-01
-1.12472187e-06,3.01875000e-01
-1.12456187e-06,3.05000000e-01
-1.12440187e-06,3.20000000e-01
-1.12424187e-06,2.57500000e-01
-1.12408187e-06,2.48125000e-01
-1.12392187e-06,2.46250000e-01
-1.12376188e-06,2.19375000e-01
