Model,MSO68B
Channel,CH4
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,13750
Zero Index,7287.66406250
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-4.180000

Labels,
TIME,CH4
-1.16602625e-06,-1.24687500e-01
-1.16586625e-06,-1.23281250e-01
-1.16570625e-06,-1.41093750e-01
-1.16554625e-06,-9.14062500e-02
-1.16538625e-06,-6.14062500e-02
-1.16522625e-06,-1.70625000e-01
-1.16506625e-06,-2.64843750e-01
-1.16490625e-06,-2.02031250e-01
-1.16474625e-06,-1.30781250e-01
-1.16458625e-06,-1.73437500e-01
-1.16442625e-06,-2.21718750e-01
-1.16426625e-06,-1.79062500e-01
-1.16410625e-06,-1.07343750e-01
-1.16394625e-06,-1.11562500e-01
-1.16378625e-06,-1.68281250e-01
-1.16362625e-06,-1.50937500e-01
-1.16346625e-06,-7.35937500e-02
-1.16330625e-06,-8.57812500e-02
-1.16314625e-06,-1.61250000e-01
-1.16298625e-06,-1.64062500e-01
-1.16282625e-06,-1.37812500e-01
-1.16266625e-06,-1.65937500e-01
-1.16250625e-06,-1.79531250e-01
-1.16234625e-06,-1.45781250e-01
-1.16218625e-06,-1.49531250e-01
-1.16202625e-06,-1.82812500e-01
-1.16186625e-06,-1.52812500e-01
-1.16170625e-06,-9.32812500e-02
-1.16154625e-06,-1.14375000e-01
-1.16138625e-06,-1.88437500e-01
-1.16122625e-06,-1.97812500e-01
-1.16106625e-06,-1.40156250e-01
-1.16090625e-06,-1.11562500e-01
-1.16074625e-06,-1.44375000e-01
-1.16058625e-06,-1.65937500e-01
-1.16042625e-06,-1.19062500e-01
-1.16026625e-06,-8.01562500e-02
-1.16010625e-06,-1.49531250e-01
-1.15994625e-06,-2.42343750e-01
-1.15978625e-06,-2.17968750e-01
-1.15962625e-06,-1.43437500e-01
-1.15946625e-06,-1.36875000e-01
-1.15930625e-06,-1.32656250e-01
-1.15914625e-06,-7.64062500e-02
-1.15898625e-06,-6.46875000e-02
-1.15882625e-06,-1.11093750e-01
-1.15866625e-06,-9.56250000e-02
-1.15850625e-06,-1.40625000e-02
-1.15834625e-06,-4.68750000e-04
-1.15818625e-06,-7.64062500e-02
-1.15802625e-06,-1.13437500e-01
-1.15786625e-06,-8.25000000e-02
-1.15770625e-06,-8.90625000e-02
-1.15754625e-06,-1.30781250e-01
-1.15738625e-06,-1.06875000e-01
-1.15722625e-06,-5.67187500e-02
-1.15706625e-06,-9.00000000e-02
-1.15690625e-06,-1.43906250e-01
-1.15674625e-06,-1.03125000e-01
-1.15658625e-06,-4.40625000e-02
-1.15642625e-06,-8.06250000e-02
-1.15626625e-06,-1.18593750e-01
-1.15610625e-06,-5.76562500e-02
-1.15594625e-06,-1.59375000e-02
-1.15578625e-06,-6.84375000e-02
