Model,MSO68B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-10,,Sample Interval,1.60000000e-10
Record Length,13750,,Record Length,13750
Zero Index,7287.21484375,,Zero Index,7287.21484375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,-2.580000,,yPosition,-3.620000

Labels,,
TIME,CH1,CH2
-1.16595437e-06,-3.21281250e-01,-3.14062500e-01
-1.16579437e-06,-3.40687500e-01,-2.95312500e-01
-1.16563437e-06,-3.65125000e-01,-3.17187500e-01
-1.16547438e-06,-3.93875000e-01,-3.48437500e-01
-1.16531437e-06,-4.25500000e-01,-3.19531250e-01
-1.16515437e-06,-4.58562500e-01,-2.58593750e-01
-1.16499437e-06,-4.91625000e-01,-1.89843750e-01
-1.16483437e-06,-5.23250000e-01,-1.78906250e-01
-1.16467437e-06,-5.52000000e-01,-1.89843750e-01
-1.16451437e-06,-5.77875000e-01,-2.27343750e-01
-1.16435438e-06,-6.00156250e-01,-2.86718750e-01
-1.16419437e-06,-6.18843750e-01,-3.35937500e-01
-1.16403437e-06,-6.34656250e-01,-3.71875000e-01
-1.16387437e-06,-6.47593750e-01,-3.45312500e-01
-1.16371437e-06,-6.59812500e-01,-3.32031250e-01
-1.16355437e-06,-6.70593750e-01,-3.62500000e-01
-1.16339437e-06,-6.81375000e-01,-4.15625000e-01
-1.16323438e-06,-6.92156250e-01,-4.33593750e-01
-1.16307437e-06,-7.02937500e-01,-3.71093750e-01
-1.16291437e-06,-7.14437500e-01,-2.60937500e-01
-1.16275437e-06,-7.26656250e-01,-2.25000000e-01
-1.16259437e-06,-7.37437500e-01,-2.31250000e-01
-1.16243437e-06,-7.47500000e-01,-2.32031250e-01
-1.16227437e-06,-7.56125000e-01,-2.50781250e-01
-1.16211438e-06,-7.62593750e-01,-3.25781250e-01
-1.16195437e-06,-7.66187500e-01,-3.79687500e-01
-1.16179437e-06,-7.66906250e-01,-3.56250000e-01
-1.16163437e-06,-7.65468750e-01,-3.12500000e-01
-1.16147437e-06,-7.61156250e-01,-2.28906250e-01
-1.16131437e-06,-7.55406250e-01,-1.75781250e-01
-1.16115437e-06,-7.47500000e-01,-1.60937500e-01
-1.16099438e-06,-7.38875000e-01,-1.20312500e-01
-1.16083437e-06,-7.30250000e-01,-1.85156250e-01
-1.16067437e-06,-7.20906250e-01,-3.35937500e-01
-1.16051437e-06,-7.13000000e-01,-3.78125000e-01
-1.16035437e-06,-7.05812500e-01,-2.78125000e-01
-1.16019437e-06,-6.98625000e-01,-2.23437500e-01
-1.16003437e-06,-6.93593750e-01,-2.77343750e-01
-1.15987438e-06,-6.87843750e-01,-2.92968750e-01
-1.15971437e-06,-6.82812500e-01,-2.46093750e-01
-1.15955437e-06,-6.77062500e-01,-2.44531250e-01
-1.15939437e-06,-6.71312500e-01,-2.78906250e-01
-1.15923437e-06,-6.63406250e-01,-2.46093750e-01
-1.15907437e-06,-6.54781250e-01,-2.04687500e-01
-1.15891437e-06,-6.44000000e-01,-2.30468750e-01
-1.15875438e-06,-6.31781250e-01,-2.63281250e-01
-1.15859437e-06,-6.17406250e-01,-2.98437500e-01
-1.15843437e-06,-6.00156250e-01,-2.68750000e-01
-1.15827437e-06,-5.81468750e-01,-1.71875000e-01
-1.15811437e-06,-5.60625000e-01,-1.64062500e-01
-1.15795437e-06,-5.37625000e-01,-2.77343750e-01
-1.15779437e-06,-5.12468750e-01,-3.21875000e-01
-1.15763438e-06,-4.86593750e-01,-2.96875000e-01
-1.15747437e-06,-4.60000000e-01,-2.89843750e-01
-1.15731437e-06,-4.34125000e-01,-3.28906250e-01
-1.15715437e-06,-4.07531250e-01,-3.45312500e-01
-1.15699437e-06,-3.82375000e-01,-3.53906250e-01
-1.15683437e-06,-3.57937500e-01,-3.66406250e-01
-1.15667437e-06,-3.34937500e-01,-2.98437500e-01
-1.15651438e-06,-3.12656250e-01,-2.65625000e-01
-1.15635437e-06,-2.91093750e-01,-2.64062500e-01
-1.15619437e-06,-2.70968750e-01,-2.24218750e-01
-1.15603437e-06,-2.52281250e-01,-2.29687500e-01
-1.15587437e-06,-2.35750000e-01,-2.76562500e-01
-1.15571437e-06,-2.22093750e-01,-2.79687500e-01
-1.15555437e-06,-2.12031250e-01,-2.13281250e-01
-1.15539438e-06,-2.06281250e-01,-1.64843750e-01
-1.15523437e-06,-2.04843750e-01,-2.16406250e-01
-1.15507437e-06,-2.07718750e-01,-3.19531250e-01
-1.15491437e-06,-2.14187500e-01,-3.79687500e-01
-1.15475437e-06,-2.23531250e-01,-3.26562500e-01
-1.15459437e-06,-2.35031250e-01,-2.17187500e-01
-1.15443437e-06,-2.48687500e-01,-1.31250000e-01
-1.15427438e-06,-2.62343750e-01,-1.02343750e-01
-1.15411437e-06,-2.76000000e-01,-1.60937500e-01
-1.15395437e-06,-2.89656250e-01,-2.35937500e-01
-1.15379437e-06,-3.04750000e-01,-1.31250000e-01
-1.15363437e-06,-3.19125000e-01,-6.17187500e-02
-1.15347437e-06,-3.34218750e-01,-1.77343750e-01
-1.15331437e-06,-3.50750000e-01,-3.17968750e-01
-1.15315438e-06,-3.68000000e-01,-3.68750000e-01
-1.15299437e-06,-3.86687500e-01,-3.20312500e-01
-1.15283437e-06,-4.04656250e-01,-2.50000000e-01
-1.15267437e-06,-4.21906250e-01,-2.72656250e-01
-1.15251437e-06,-4.37718750e-01,-3.21875000e-01
-1.15235437e-06,-4.51375000e-01,-2.85156250e-01
-1.15219437e-06,-4.62875000e-01,-2.82812500e-01
-1.15203438e-06,-4.71500000e-01,-3.53906250e-01
-1.15187437e-06,-4.79406250e-01,-3.56250000e-01
-1.15171437e-06,-4.86593750e-01,-2.93750000e-01
-1.15155437e-06,-4.95937500e-01,-2.64062500e-01
-1.15139437e-06,-5.06718750e-01,-3.49218750e-01
-1.15123437e-06,-5.19656250e-01,-4.10937500e-01
-1.15107437e-06,-5.36187500e-01,-3.54687500e-01
-1.15091438e-06,-5.55593750e-01,-3.06250000e-01
-1.15075437e-06,-5.75718750e-01,-2.92968750e-01
-1.15059437e-06,-5.97281250e-01,-2.83593750e-01
-1.15043437e-06,-6.18843750e-01,-2.96875000e-01
-1.15027437e-06,-6.39687500e-01,-2.70312500e-01
-1.15011437e-06,-6.61250000e-01,-1.73437500e-01
-1.14995437e-06,-6.81375000e-01,-1.13281250e-01
-1.14979438e-06,-7.00781250e-01,-2.41406250e-01
-1.14963437e-06,-7.19468750e-01,-3.22656250e-01
-1.14947437e-06,-7.36718750e-01,-2.07812500e-01
-1.14931437e-06,-7.52531250e-01,-9.37500000e-02
-1.14915437e-06,-7.65468750e-01,-1.14062500e-01
-1.14899437e-06,-7.75531250e-01,-2.11718750e-01
-1.14883437e-06,-7.82000000e-01,-2.28906250e-01
-1.14867438e-06,-7.85593750e-01,-1.69531250e-01
-1.14851437e-06,-7.85593750e-01,-2.22656250e-01
-1.14835437e-06,-7.82718750e-01,-3.27343750e-01
-1.14819437e-06,-7.77687500e-01,-2.55468750e-01
-1.14803437e-06,-7.69062500e-01,-1.41406250e-01
-1.14787437e-06,-7.59718750e-01,-2.07812500e-01
-1.14771437e-06,-7.49656250e-01,-3.43750000e-01
-1.14755438e-06,-7.38875000e-01,-3.07031250e-01
-1.14739437e-06,-7.28093750e-01,-2.42968750e-01
-1.14723437e-06,-7.17312500e-01,-2.57812500e-01
-1.14707437e-06,-7.06531250e-01,-2.78125000e-01
-1.14691437e-06,-6.95750000e-01,-2.98437500e-01
-1.14675437e-06,-6.84250000e-01,-3.34375000e-01
-1.14659437e-06,-6.71312500e-01,-3.04687500e-01
-1.14643438e-06,-6.56218750e-01,-1.66406250e-01
-1.14627437e-06,-6.39687500e-01,-1.44531250e-01
-1.14611437e-06,-6.21000000e-01,-2.44531250e-01
-1.14595437e-06,-6.00875000e-01,-3.10937500e-01
-1.14579437e-06,-5.79312500e-01,-2.92187500e-01
-1.14563437e-06,-5.58468750e-01,-2.60937500e-01
-1.14547437e-06,-5.37625000e-01,-2.23437500e-01
-1.14531438e-06,-5.18937500e-01,-2.22656250e-01
-1.14515437e-06,-5.01687500e-01,-3.20312500e-01
-1.14499437e-06,-4.86593750e-01,-3.67187500e-01
-1.14483437e-06,-4.72937500e-01,-3.42187500e-01
-1.14467437e-06,-4.60718750e-01,-3.35156250e-01
-1.14451437e-06,-4.49218750e-01,-2.79687500e-01
-1.14435437e-06,-4.37718750e-01,-2.49218750e-01
-1.14419438e-06,-4.24781250e-01,-2.21875000e-01
-1.14403437e-06,-4.11843750e-01,-1.69531250e-01
-1.14387437e-06,-3.97468750e-01,-1.61718750e-01
-1.14371437e-06,-3.82375000e-01,-2.17187500e-01
