Model,MSO68B
Channel,CH2
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,12500
Zero Index,8499.83593750
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-3.620000

Labels,
TIME,CH2
-1.35997375e-06,2.83593750e-01
-1.35981375e-06,3.10937500e-01
-1.35965375e-06,3.10937500e-01
-1.35949375e-06,3.88281250e-01
-1.35933375e-06,4.83593750e-01
-1.35917375e-06,5.39843750e-01
-1.35901375e-06,6.53906250e-01
-1.35885375e-06,7.90625000e-01
-1.35869375e-06,8.85156250e-01
-1.35853375e-06,8.74218750e-01
-1.35837375e-06,8.01562500e-01
-1.35821375e-06,8.25000000e-01
-1.35805375e-06,9.42187500e-01
-1.35789375e-06,1.08906250e+00
-1.35773375e-06,1.18828125e+00
-1.35757375e-06,1.22109375e+00
-1.35741375e-06,1.28906250e+00
-1.35725375e-06,1.37031250e+00
-1.35709375e-06,1.43125000e+00
-1.35693375e-06,1.52968750e+00
-1.35677375e-06,1.61484375e+00
-1.35661375e-06,1.59921875e+00
-1.35645375e-06,1.64218750e+00
-1.35629375e-06,1.72265625e+00
-1.35613375e-06,1.77500000e+00
-1.35597375e-06,1.78515625e+00
-1.35581375e-06,1.80625000e+00
-1.35565375e-06,1.85312500e+00
-1.35549375e-06,1.87968750e+00
-1.35533375e-06,1.94453125e+00
-1.35517375e-06,1.96796875e+00
-1.35501375e-06,1.94609375e+00
-1.35485375e-06,1.92734375e+00
-1.35469375e-06,1.90937500e+00
-1.35453375e-06,1.90312500e+00
-1.35437375e-06,1.88515625e+00
-1.35421375e-06,1.86875000e+00
-1.35405375e-06,1.81718750e+00
-1.35389375e-06,1.75625000e+00
-1.35373375e-06,1.74687500e+00
-1.35357375e-06,1.71796875e+00
-1.35341375e-06,1.63906250e+00
-1.35325375e-06,1.56484375e+00
-1.35309375e-06,1.50468750e+00
-1.35293375e-06,1.43984375e+00
-1.35277375e-06,1.42421875e+00
-1.35261375e-06,1.38125000e+00
-1.35245375e-06,1.29140625e+00
-1.35229375e-06,1.27343750e+00
-1.35213375e-06,1.24218750e+00
-1.35197375e-06,1.15937500e+00
-1.35181375e-06,1.09218750e+00
-1.35165375e-06,1.02343750e+00
-1.35149375e-06,8.96093750e-01
-1.35133375e-06,8.00000000e-01
-1.35117375e-06,7.71093750e-01
-1.35101375e-06,7.25781250e-01
-1.35085375e-06,6.11718750e-01
-1.35069375e-06,5.31250000e-01
-1.35053375e-06,5.32031250e-01
-1.35037375e-06,5.04687500e-01
-1.35021375e-06,4.57031250e-01
-1.35005375e-06,4.00781250e-01
-1.34989375e-06,3.57031250e-01
-1.34973375e-06,3.17187500e-01
-1.34957375e-06,2.38281250e-01
-1.34941375e-06,2.03125000e-01
-1.34925375e-06,1.98437500e-01
-1.34909375e-06,1.30468750e-01
-1.34893375e-06,4.37500000e-02
-1.34877375e-06,5.07812500e-02
-1.34861375e-06,7.57812500e-02
-1.34845375e-06,8.98437500e-02
-1.34829375e-06,8.51562500e-02
-1.34813375e-06,6.40625000e-02
-1.34797375e-06,8.04687500e-02
-1.34781375e-06,9.53125000e-02
-1.34765375e-06,1.34375000e-01
-1.34749375e-06,2.11718750e-01
-1.34733375e-06,2.68750000e-01
-1.34717375e-06,2.75000000e-01
-1.34701375e-06,3.02343750e-01
-1.34685375e-06,3.39062500e-01
-1.34669375e-06,3.64843750e-01
-1.34653375e-06,4.64062500e-01
-1.34637375e-06,5.84375000e-01
-1.34621375e-06,6.79687500e-01
-1.34605375e-06,7.21093750e-01
-1.34589375e-06,6.96875000e-01
-1.34573375e-06,6.77343750e-01
-1.34557375e-06,7.32812500e-01
-1.34541375e-06,8.57031250e-01
-1.34525375e-06,9.81250000e-01
-1.34509375e-06,1.06093750e+00
-1.34493375e-06,1.08671875e+00
-1.34477375e-06,1.11250000e+00
-1.34461375e-06,1.18515625e+00
-1.34445375e-06,1.30156250e+00
-1.34429375e-06,1.36093750e+00
-1.34413375e-06,1.32812500e+00
-1.34397375e-06,1.31406250e+00
-1.34381375e-06,1.35078125e+00
-1.34365375e-06,1.48515625e+00
-1.34349375e-06,1.60937500e+00
-1.34333375e-06,1.64609375e+00
-1.34317375e-06,1.65000000e+00
-1.34301375e-06,1.63046875e+00
-1.34285375e-06,1.63671875e+00
-1.34269375e-06,1.65937500e+00
-1.34253375e-06,1.77031250e+00
-1.34237375e-06,1.90703125e+00
-1.34221375e-06,1.91484375e+00
-1.34205375e-06,1.81875000e+00
-1.34189375e-06,1.74453125e+00
-1.34173375e-06,1.72812500e+00
-1.34157375e-06,1.71250000e+00
-1.34141375e-06,1.69609375e+00
-1.34125375e-06,1.65781250e+00
-1.34109375e-06,1.67500000e+00
-1.34093375e-06,1.70234375e+00
-1.34077375e-06,1.63515625e+00
-1.34061375e-06,1.56406250e+00
-1.34045375e-06,1.57031250e+00
-1.34029375e-06,1.57812500e+00
-1.34013375e-06,1.54609375e+00
-1.33997375e-06,1.52734375e+00
-1.33981375e-06,1.46562500e+00
-1.33965375e-06,1.40000000e+00
-1.33949375e-06,1.36328125e+00
-1.33933375e-06,1.22421875e+00
-1.33917375e-06,1.08671875e+00
-1.33901375e-06,1.05703125e+00
-1.33885375e-06,9.97656250e-01
-1.33869375e-06,9.10937500e-01
-1.33853375e-06,8.87500000e-01
-1.33837375e-06,8.44531250e-01
-1.33821375e-06,7.76562500e-01
-1.33805375e-06,7.27343750e-01
-1.33789375e-06,6.67968750e-01
-1.33773375e-06,5.96093750e-01
-1.33757375e-06,6.15625000e-01
-1.33741375e-06,6.53906250e-01
-1.33725375e-06,5.34375000e-01
-1.33709375e-06,3.64062500e-01
-1.33693375e-06,2.35937500e-01
-1.33677375e-06,1.73437500e-01
-1.33661375e-06,2.10156250e-01
-1.33645375e-06,3.59375000e-01
-1.33629375e-06,4.25000000e-01
-1.33613375e-06,2.90625000e-01
-1.33597375e-06,1.47656250e-01
-1.33581375e-06,5.23437500e-02
-1.33565375e-06,3.43750000e-02
-1.33549375e-06,1.09375000e-01
-1.33533375e-06,1.96093750e-01
-1.33517375e-06,2.75000000e-01
-1.33501375e-06,3.44531250e-01
-1.33485375e-06,3.85156250e-01
-1.33469375e-06,3.30468750e-01
-1.33453375e-06,2.87500000e-01
-1.33437375e-06,3.59375000e-01
-1.33421375e-06,3.82031250e-01
-1.33405375e-06,2.57812500e-01
-1.33389375e-06,2.03906250e-01
-1.33373375e-06,3.55468750e-01
-1.33357375e-06,4.78125000e-01
-1.33341375e-06,5.35937500e-01
-1.33325375e-06,6.08593750e-01
-1.33309375e-06,6.66406250e-01
-1.33293375e-06,7.16406250e-01
-1.33277375e-06,7.32812500e-01
-1.33261375e-06,7.23437500e-01
-1.33245375e-06,7.21875000e-01
-1.33229375e-06,8.28906250e-01
-1.33213375e-06,9.92968750e-01
-1.33197375e-06,1.10000000e+00
-1.33181375e-06,1.08671875e+00
-1.33165375e-06,1.06640625e+00
-1.33149375e-06,1.14843750e+00
-1.33133375e-06,1.25546875e+00
-1.33117375e-06,1.33359375e+00
-1.33101375e-06,1.38515625e+00
-1.33085375e-06,1.41250000e+00
-1.33069375e-06,1.42812500e+00
-1.33053375e-06,1.47968750e+00
-1.33037375e-06,1.53125000e+00
-1.33021375e-06,1.56250000e+00
-1.33005375e-06,1.59921875e+00
-1.32989375e-06,1.62421875e+00
-1.32973375e-06,1.64453125e+00
-1.32957375e-06,1.62812500e+00
-1.32941375e-06,1.62656250e+00
-1.32925375e-06,1.69921875e+00
-1.32909375e-06,1.73515625e+00
-1.32893375e-06,1.69687500e+00
-1.32877375e-06,1.67265625e+00
-1.32861375e-06,1.62578125e+00
-1.32845375e-06,1.54218750e+00
-1.32829375e-06,1.53906250e+00
-1.32813375e-06,1.57578125e+00
-1.32797375e-06,1.58593750e+00
-1.32781375e-06,1.57109375e+00
-1.32765375e-06,1.57734375e+00
-1.32749375e-06,1.57187500e+00
-1.32733375e-06,1.51250000e+00
-1.32717375e-06,1.42890625e+00
-1.32701375e-06,1.38515625e+00
-1.32685375e-06,1.30078125e+00
-1.32669375e-06,1.21328125e+00
-1.32653375e-06,1.17890625e+00
-1.32637375e-06,1.20000000e+00
-1.32621375e-06,1.13828125e+00
-1.32605375e-06,9.75000000e-01
-1.32589375e-06,8.72656250e-01
-1.32573375e-06,8.86718750e-01
-1.32557375e-06,8.71875000e-01
-1.32541375e-06,7.53906250e-01
-1.32525375e-06,6.17187500e-01
-1.32509375e-06,5.46093750e-01
-1.32493375e-06,5.87500000e-01
-1.32477375e-06,6.46875000e-01
-1.32461375e-06,6.79687500e-01
-1.32445375e-06,6.44531250e-01
-1.32429375e-06,6.20312500e-01
-1.32413375e-06,5.21093750e-01
-1.32397375e-06,3.41406250e-01
-1.32381375e-06,2.39843750e-01
-1.32365375e-06,1.90625000e-01
-1.32349375e-06,1.78906250e-01
-1.32333375e-06,2.41406250e-01
-1.32317375e-06,3.17968750e-01
-1.32301375e-06,2.60156250e-01
-1.32285375e-06,1.32031250e-01
-1.32269375e-06,9.29687500e-02
-1.32253375e-06,1.32031250e-01
-1.32237375e-06,1.96875000e-01
-1.32221375e-06,2.42968750e-01
-1.32205375e-06,2.64062500e-01
-1.32189375e-06,2.00781250e-01
-1.32173375e-06,1.95312500e-01
-1.32157375e-06,2.67968750e-01
-1.32141375e-06,3.28125000e-01
-1.32125375e-06,3.41406250e-01
-1.32109375e-06,3.27343750e-01
-1.32093375e-06,3.64062500e-01
-1.32077375e-06,3.82812500e-01
-1.32061375e-06,4.53125000e-01
-1.32045375e-06,5.42968750e-01
-1.32029375e-06,5.67187500e-01
-1.32013375e-06,5.96093750e-01
-1.31997375e-06,6.60156250e-01
-1.31981375e-06,6.70312500e-01
-1.31965375e-06,6.95312500e-01
-1.31949375e-06,8.77343750e-01
-1.31933375e-06,1.01171875e+00
-1.31917375e-06,9.53906250e-01
-1.31901375e-06,9.57031250e-01
-1.31885375e-06,1.07187500e+00
-1.31869375e-06,1.14062500e+00
-1.31853375e-06,1.12968750e+00
-1.31837375e-06,1.09609375e+00
-1.31821375e-06,1.08515625e+00
-1.31805375e-06,1.17421875e+00
-1.31789375e-06,1.34453125e+00
-1.31773375e-06,1.44218750e+00
-1.31757375e-06,1.40859375e+00
