Model,MSO68B
Channel,CH3
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,13750
Zero Index,6874.58593750
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-4.240000

Labels,
TIME,CH3
-1.09993375e-06,3.60468750e-01
-1.09977375e-06,3.45468750e-01
-1.09961375e-06,3.16406250e-01
-1.09945375e-06,3.03281250e-01
-1.09929375e-06,3.10781250e-01
-1.09913375e-06,3.24375000e-01
-1.09897375e-06,3.31406250e-01
-1.09881375e-06,3.29062500e-01
-1.09865375e-06,3.28125000e-01
-1.09849375e-06,3.28125000e-01
-1.09833375e-06,3.08437500e-01
-1.09817375e-06,2.81718750e-01
-1.09801375e-06,2.91562500e-01
-1.09785375e-06,3.33281250e-01
-1.09769375e-06,3.52968750e-01
-1.09753375e-06,3.36093750e-01
-1.09737375e-06,3.12187500e-01
-1.09721375e-06,2.97187500e-01
-1.09705375e-06,2.93437500e-01
-1.09689375e-06,3.00000000e-01
-1.09673375e-06,3.16406250e-01
-1.09657375e-06,3.38437500e-01
-1.09641375e-06,3.48281250e-01
-1.09625375e-06,3.37031250e-01
-1.09609375e-06,3.29062500e-01
-1.09593375e-06,3.36093750e-01
-1.09577375e-06,3.31406250e-01
-1.09561375e-06,3.13593750e-01
-1.09545375e-06,3.10781250e-01
-1.09529375e-06,3.20156250e-01
-1.09513375e-06,3.22968750e-01
-1.09497375e-06,3.29062500e-01
-1.09481375e-06,3.39843750e-01
-1.09465375e-06,3.32343750e-01
-1.09449375e-06,3.08906250e-01
-1.09433375e-06,2.94843750e-01
-1.09417375e-06,3.00000000e-01
-1.09401375e-06,3.10312500e-01
-1.09385375e-06,3.10312500e-01
-1.09369375e-06,3.09843750e-01
-1.09353375e-06,3.26250000e-01
-1.09337375e-06,3.40312500e-01
-1.09321375e-06,3.15000000e-01
-1.09305375e-06,2.57812500e-01
-1.09289375e-06,2.24062500e-01
-1.09273375e-06,2.44218750e-01
-1.09257375e-06,2.92500000e-01
-1.09241375e-06,3.35156250e-01
-1.09225375e-06,3.59062500e-01
-1.09209375e-06,3.45468750e-01
-1.09193375e-06,3.01406250e-01
