Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,12500
Zero Index,749.79687500
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-1.19967500e-07,-1.30312500e-01
-1.19807500e-07,-4.96875000e-02
-1.19647500e-07,-3.81250000e-02
-1.19487500e-07,-1.20625000e-01
-1.19327500e-07,-1.39687500e-01
-1.19167500e-07,-7.50000000e-02
-1.19007500e-07,-6.78125000e-02
-1.18847500e-07,-1.30625000e-01
-1.18687500e-07,-1.26562500e-01
-1.18527500e-07,-5.28125000e-02
-1.18367500e-07,-5.68750000e-02
-1.18207500e-07,-1.38437500e-01
-1.18047500e-07,-1.40937500e-01
-1.17887500e-07,-6.93750000e-02
-1.17727500e-07,-6.15625000e-02
-1.17567500e-07,-1.02187500e-01
-1.17407500e-07,-1.05312500e-01
-1.17247500e-07,-9.12500000e-02
-1.17087500e-07,-9.34375000e-02
-1.16927500e-07,-1.14687500e-01
-1.16767500e-07,-1.44687500e-01
-1.16607500e-07,-1.29375000e-01
-1.16447500e-07,-7.71875000e-02
-1.16287500e-07,-7.31250000e-02
-1.16127500e-07,-8.62500000e-02
-1.15967500e-07,-5.46875000e-02
-1.15807500e-07,-5.50000000e-02
-1.15647500e-07,-1.10000000e-01
-1.15487500e-07,-1.23437500e-01
-1.15327500e-07,-1.04062500e-01
-1.15167500e-07,-1.24375000e-01
-1.15007500e-07,-1.53125000e-01
-1.14847500e-07,-1.29687500e-01
-1.14687500e-07,-7.93750000e-02
-1.14527500e-07,-8.00000000e-02
-1.14367500e-07,-1.36562500e-01
-1.14207500e-07,-1.54375000e-01
-1.14047500e-07,-1.06875000e-01
-1.13887500e-07,-8.21875000e-02
-1.13727500e-07,-1.06562500e-01
-1.13567500e-07,-1.18125000e-01
-1.13407500e-07,-9.31250000e-02
-1.13247500e-07,-7.28125000e-02
-1.13087500e-07,-1.11875000e-01
-1.12927500e-07,-1.59062500e-01
-1.12767500e-07,-1.08125000e-01
-1.12607500e-07,-5.03125000e-02
-1.12447500e-07,-1.24062500e-01
-1.12287500e-07,-1.85000000e-01
-1.12127500e-07,-1.08125000e-01
-1.11967500e-07,-6.25000000e-02
-1.11807500e-07,-1.27812500e-01
-1.11647500e-07,-1.58125000e-01
-1.11487500e-07,-1.07187500e-01
-1.11327500e-07,-6.28125000e-02
-1.11167500e-07,-7.09375000e-02
-1.11007500e-07,-1.01250000e-01
-1.10847500e-07,-1.00312500e-01
-1.10687500e-07,-8.43750000e-02
-1.10527500e-07,-9.37500000e-02
-1.10367500e-07,-8.46875000e-02
-1.10207500e-07,-6.40625000e-02
-1.10047500e-07,-1.01250000e-01
-1.09887500e-07,-1.25625000e-01
-1.09727500e-07,-7.68750000e-02
-1.09567500e-07,-7.12500000e-02
-1.09407500e-07,-1.19687500e-01
-1.09247500e-07,-1.08437500e-01
-1.09087500e-07,-7.78125000e-02
-1.08927500e-07,-9.18750000e-02
-1.08767500e-07,-8.93750000e-02
-1.08607500e-07,-8.31250000e-02
-1.08447500e-07,-1.15312500e-01
-1.08287500e-07,-1.09687500e-01
-1.08127500e-07,-6.75000000e-02
-1.07967500e-07,-9.62500000e-02
-1.07807500e-07,-1.35625000e-01
-1.07647500e-07,-6.81250000e-02
-1.07487500e-07,-2.09375000e-02
-1.07327500e-07,-1.16562500e-01
-1.07167500e-07,-1.79062500e-01
-1.07007500e-07,-1.09375000e-01
-1.06847500e-07,-9.65625000e-02
-1.06687500e-07,-1.59375000e-01
-1.06527500e-07,-1.12500000e-01
-1.06367500e-07,-3.34375000e-02
-1.06207500e-07,-7.21875000e-02
-1.06047500e-07,-1.08437500e-01
-1.05887500e-07,-7.71875000e-02
