Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,1949.79687500
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-3.11967500e-07,-2.81250000e-02
-3.11807500e-07,-9.84375000e-03
-3.11647500e-07,-3.35937500e-02
-3.11487500e-07,-4.15625000e-02
-3.11327500e-07,-2.09375000e-02
-3.11167500e-07,-1.29687500e-02
-3.11007500e-07,-1.57812500e-02
-3.10847500e-07,-2.34375000e-03
-3.10687500e-07,4.06250000e-03
-3.10527500e-07,-2.15625000e-02
-3.10367500e-07,-4.00000000e-02
-3.10207500e-07,-2.07812500e-02
-3.10047500e-07,2.65625000e-03
-3.09887500e-07,-5.15625000e-03
-3.09727500e-07,-4.15625000e-02
-3.09567500e-07,-5.87500000e-02
-3.09407500e-07,-1.40625000e-02
-3.09247500e-07,2.20312500e-02
-3.09087500e-07,-2.67187500e-02
-3.08927500e-07,-5.78125000e-02
-3.08767500e-07,7.65625000e-03
-3.08607500e-07,4.06250000e-02
-3.08447500e-07,-1.00000000e-02
-3.08287500e-07,-1.06250000e-02
-3.08127500e-07,3.85937500e-02
-3.07967500e-07,1.85937500e-02
-3.07807500e-07,-2.57812500e-02
-3.07647500e-07,-6.71875000e-03
-3.07487500e-07,1.75000000e-02
-3.07327500e-07,7.50000000e-03
-3.07167500e-07,7.81250000e-03
-3.07007500e-07,1.17187500e-02
-3.06847500e-07,5.00000000e-03
-3.06687500e-07,1.15625000e-02
-3.06527500e-07,1.18750000e-02
-3.06367500e-07,2.34375000e-03
-3.06207500e-07,2.64062500e-02
-3.06047500e-07,4.73437500e-02
-3.05887500e-07,2.00000000e-02
-3.05727500e-07,9.53125000e-03
-3.05567500e-07,3.54687500e-02
-3.05407500e-07,2.89062500e-02
-3.05247500e-07,4.53125000e-03
-3.05087500e-07,1.48437500e-02
-3.04927500e-07,2.81250000e-02
-3.04767500e-07,1.21875000e-02
-3.04607500e-07,-9.84375000e-03
-3.04447500e-07,-1.34375000e-02
-3.04287500e-07,6.09375000e-03
-3.04127500e-07,2.73437500e-02
-3.03967500e-07,2.59375000e-02
-3.03807500e-07,2.21875000e-02
-3.03647500e-07,3.07812500e-02
-3.03487500e-07,1.90625000e-02
-3.03327500e-07,-7.18750000e-03
-3.03167500e-07,5.46875000e-03
-3.03007500e-07,4.07812500e-02
-3.02847500e-07,3.12500000e-02
-3.02687500e-07,-2.96875000e-03
-3.02527500e-07,4.21875000e-03
-3.02367500e-07,2.81250000e-02
-3.02207500e-07,1.50000000e-02
-3.02047500e-07,-7.65625000e-03
-3.01887500e-07,-1.40625000e-03
-3.01727500e-07,1.67187500e-02
-3.01567500e-07,2.48437500e-02
-3.01407500e-07,1.85937500e-02
-3.01247500e-07,5.31250000e-03
-3.01087500e-07,8.90625000e-03
-3.00927500e-07,2.62500000e-02
-3.00767500e-07,2.40625000e-02
-3.00607500e-07,1.17187500e-02
-3.00447500e-07,2.04687500e-02
-3.00287500e-07,2.84375000e-02
-3.00127500e-07,1.15625000e-02
-2.99967500e-07,5.78125000e-03
-2.99807500e-07,3.04687500e-02
-2.99647500e-07,3.57812500e-02
-2.99487500e-07,-5.00000000e-03
-2.99327500e-07,-2.71875000e-02
-2.99167500e-07,1.26562500e-02
-2.99007500e-07,4.00000000e-02
-2.98847500e-07,9.06250000e-03
-2.98687500e-07,5.46875000e-03
-2.98527500e-07,4.81250000e-02
-2.98367500e-07,3.78125000e-02
-2.98207500e-07,-9.53125000e-03
-2.98047500e-07,2.34375000e-03
-2.97887500e-07,3.50000000e-02
-2.97727500e-07,2.29687500e-02
-2.97567500e-07,8.12500000e-03
-2.97407500e-07,1.42187500e-02
