Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,1949.16796875
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-3.11866875e-07,-4.35937500e-02
-3.11706875e-07,-7.51562500e-02
-3.11546875e-07,-5.03125000e-02
-3.11386875e-07,-3.32812500e-02
-3.11226875e-07,-6.48437500e-02
-3.11066875e-07,-5.87500000e-02
-3.10906875e-07,-1.35937500e-02
-3.10746875e-07,-6.25000000e-03
-3.10586875e-07,-2.42187500e-02
-3.10426875e-07,-4.23437500e-02
-3.10266875e-07,-5.62500000e-02
-3.10106875e-07,-3.84375000e-02
-3.09946875e-07,-3.07812500e-02
-3.09786875e-07,-7.28125000e-02
-3.09626875e-07,-7.68750000e-02
-3.09466875e-07,-2.37500000e-02
-3.09306875e-07,-1.68750000e-02
-3.09146875e-07,-4.57812500e-02
-3.08986875e-07,-4.01562500e-02
-3.08826875e-07,-3.32812500e-02
-3.08666875e-07,-4.39062500e-02
-3.08506875e-07,-3.21875000e-02
-3.08346875e-07,-1.76562500e-02
-3.08186875e-07,-3.35937500e-02
-3.08026875e-07,-5.31250000e-02
-3.07866875e-07,-5.14062500e-02
-3.07706875e-07,-4.09375000e-02
-3.07546875e-07,-4.43750000e-02
-3.07386875e-07,-6.46875000e-02
-3.07226875e-07,-6.71875000e-02
-3.07066875e-07,-2.96875000e-02
-3.06906875e-07,-4.53125000e-03
-3.06746875e-07,-4.07812500e-02
-3.06586875e-07,-8.03125000e-02
-3.06426875e-07,-5.37500000e-02
-3.06266875e-07,-1.60937500e-02
-3.06106875e-07,-3.34375000e-02
-3.05946875e-07,-5.34375000e-02
-3.05786875e-07,-3.54687500e-02
-3.05626875e-07,-3.10937500e-02
-3.05466875e-07,-5.20312500e-02
-3.05306875e-07,-6.29687500e-02
-3.05146875e-07,-7.32812500e-02
-3.04986875e-07,-8.73437500e-02
-3.04826875e-07,-7.71875000e-02
-3.04666875e-07,-5.39062500e-02
-3.04506875e-07,-5.25000000e-02
-3.04346875e-07,-7.56250000e-02
-3.04186875e-07,-9.54687500e-02
-3.04026875e-07,-7.95312500e-02
-3.03866875e-07,-4.03125000e-02
-3.03706875e-07,-3.68750000e-02
-3.03546875e-07,-7.14062500e-02
-3.03386875e-07,-7.51562500e-02
-3.03226875e-07,-4.09375000e-02
-3.03066875e-07,-3.78125000e-02
-3.02906875e-07,-7.31250000e-02
-3.02746875e-07,-8.45312500e-02
-3.02586875e-07,-6.67187500e-02
-3.02426875e-07,-6.32812500e-02
-3.02266875e-07,-7.25000000e-02
-3.02106875e-07,-6.92187500e-02
-3.01946875e-07,-5.07812500e-02
-3.01786875e-07,-3.14062500e-02
-3.01626875e-07,-4.53125000e-02
-3.01466875e-07,-8.53125000e-02
-3.01306875e-07,-8.17187500e-02
-3.01146875e-07,-4.87500000e-02
-3.00986875e-07,-6.71875000e-02
-3.00826875e-07,-9.04687500e-02
-3.00666875e-07,-6.03125000e-02
-3.00506875e-07,-5.59375000e-02
-3.00346875e-07,-8.90625000e-02
-3.00186875e-07,-7.31250000e-02
-3.00026875e-07,-3.84375000e-02
-2.99866875e-07,-4.75000000e-02
-2.99706875e-07,-6.34375000e-02
-2.99546875e-07,-6.37500000e-02
-2.99386875e-07,-5.59375000e-02
-2.99226875e-07,-4.29687500e-02
-2.99066875e-07,-6.06250000e-02
-2.98906875e-07,-8.81250000e-02
-2.98746875e-07,-6.31250000e-02
-2.98586875e-07,-4.23437500e-02
-2.98426875e-07,-7.60937500e-02
-2.98266875e-07,-8.21875000e-02
-2.98106875e-07,-4.46875000e-02
-2.97946875e-07,-4.03125000e-02
-2.97786875e-07,-6.09375000e-02
