Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,2699.95703125
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.360000

Labels,
TIME,CH8
-4.31993125e-07,1.87500000e-03
-4.31833125e-07,2.15625000e-02
-4.31673125e-07,-1.56250000e-03
-4.31513125e-07,-2.40625000e-02
-4.31353125e-07,1.48437500e-02
-4.31193125e-07,3.75000000e-02
-4.31033125e-07,-3.75000000e-03
-4.30873125e-07,-1.07812500e-02
-4.30713125e-07,2.45312500e-02
-4.30553125e-07,4.21875000e-03
-4.30393125e-07,-3.06250000e-02
-4.30233125e-07,-2.65625000e-03
-4.30073125e-07,1.92187500e-02
-4.29913125e-07,-2.18750000e-03
-4.29753125e-07,-2.81250000e-03
-4.29593125e-07,7.18750000e-03
-4.29433125e-07,-1.21875000e-02
-4.29273125e-07,-2.75000000e-02
-4.29113125e-07,-2.71875000e-02
-4.28953125e-07,-2.59375000e-02
-4.28793125e-07,-6.09375000e-03
-4.28633125e-07,2.34375000e-03
-4.28473125e-07,-3.62500000e-02
-4.28313125e-07,-4.76562500e-02
-4.28153125e-07,0.00000000e+00
-4.27993125e-07,1.25000000e-03
-4.27833125e-07,-5.89062500e-02
-4.27673125e-07,-6.06250000e-02
-4.27513125e-07,-5.31250000e-03
-4.27353125e-07,-6.71875000e-03
-4.27193125e-07,-5.18750000e-02
-4.27033125e-07,-5.25000000e-02
-4.26873125e-07,-3.09375000e-02
-4.26713125e-07,-3.82812500e-02
-4.26553125e-07,-4.73437500e-02
-4.26393125e-07,-3.79687500e-02
-4.26233125e-07,-2.20312500e-02
-4.26073125e-07,-9.84375000e-03
-4.25913125e-07,-3.20312500e-02
-4.25753125e-07,-7.29687500e-02
-4.25593125e-07,-5.54687500e-02
-4.25433125e-07,-1.57812500e-02
-4.25273125e-07,-5.57812500e-02
-4.25113125e-07,-1.02187500e-01
-4.24953125e-07,-5.10937500e-02
-4.24793125e-07,-5.78125000e-03
-4.24633125e-07,-4.82812500e-02
-4.24473125e-07,-6.14062500e-02
-4.24313125e-07,-2.96875000e-03
-4.24153125e-07,7.81250000e-04
-4.23993125e-07,-6.25000000e-02
-4.23833125e-07,-6.71875000e-02
-4.23673125e-07,-1.35937500e-02
-4.23513125e-07,-5.31250000e-03
-4.23353125e-07,-2.93750000e-02
-4.23193125e-07,-2.03125000e-02
-4.23033125e-07,-1.12500000e-02
-4.22873125e-07,-2.79687500e-02
-4.22713125e-07,-2.17187500e-02
-4.22553125e-07,3.59375000e-03
-4.22393125e-07,1.71875000e-03
-4.22233125e-07,-1.39062500e-02
-4.22073125e-07,-2.04687500e-02
-4.21913125e-07,-1.93750000e-02
-4.21753125e-07,-7.81250000e-04
-4.21593125e-07,1.25000000e-02
-4.21433125e-07,-1.40625000e-02
-4.21273125e-07,-3.50000000e-02
-4.21113125e-07,-1.20312500e-02
-4.20953125e-07,-6.71875000e-03
-4.20793125e-07,-3.93750000e-02
-4.20633125e-07,-3.04687500e-02
-4.20473125e-07,2.28125000e-02
-4.20313125e-07,2.54687500e-02
-4.20153125e-07,-1.40625000e-02
-4.19993125e-07,6.25000000e-04
-4.19833125e-07,3.92187500e-02
-4.19673125e-07,1.14062500e-02
-4.19513125e-07,-3.31250000e-02
-4.19353125e-07,-1.65625000e-02
-4.19193125e-07,2.06250000e-02
-4.19033125e-07,3.20312500e-02
-4.18873125e-07,2.28125000e-02
-4.18713125e-07,1.87500000e-03
-4.18553125e-07,-2.96875000e-03
-4.18393125e-07,2.81250000e-03
-4.18233125e-07,-1.73437500e-02
-4.18073125e-07,-1.20312500e-02
-4.17913125e-07,3.76562500e-02
-4.17753125e-07,1.50000000e-02
