Model,MSO68B
Channel,CH8
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,7500
Zero Index,1949.75390625
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,0.440000

Labels,
TIME,CH8
-3.11960625e-07,-5.31250000e-02
-3.11800625e-07,-8.91250000e-02
-3.11640625e-07,-1.13500000e-01
-3.11480625e-07,-8.95000000e-02
-3.11320625e-07,-7.26250000e-02
-3.11160625e-07,-9.83750000e-02
-3.11000625e-07,-1.15750000e-01
-3.10840625e-07,-9.45000000e-02
-3.10680625e-07,-8.95000000e-02
-3.10520625e-07,-1.17625000e-01
-3.10360625e-07,-1.13250000e-01
-3.10200625e-07,-7.61250000e-02
-3.10040625e-07,-7.41250000e-02
-3.09880625e-07,-1.00375000e-01
-3.09720625e-07,-1.05500000e-01
-3.09560625e-07,-9.31250000e-02
-3.09400625e-07,-8.57500000e-02
-3.09240625e-07,-8.80000000e-02
-3.09080625e-07,-9.12500000e-02
-3.08920625e-07,-8.27500000e-02
-3.08760625e-07,-7.46250000e-02
-3.08600625e-07,-8.53750000e-02
-3.08440625e-07,-9.41250000e-02
-3.08280625e-07,-8.72500000e-02
-3.08120625e-07,-9.15000000e-02
-3.07960625e-07,-1.10500000e-01
-3.07800625e-07,-1.07875000e-01
-3.07640625e-07,-8.23750000e-02
-3.07480625e-07,-8.30000000e-02
-3.07320625e-07,-1.11125000e-01
-3.07160625e-07,-1.03125000e-01
-3.07000625e-07,-6.58750000e-02
-3.06840625e-07,-7.53750000e-02
-3.06680625e-07,-1.16250000e-01
-3.06520625e-07,-1.14875000e-01
-3.06360625e-07,-8.52500000e-02
-3.06200625e-07,-8.32500000e-02
-3.06040625e-07,-1.08625000e-01
-3.05880625e-07,-1.22250000e-01
-3.05720625e-07,-1.08125000e-01
-3.05560625e-07,-1.05500000e-01
-3.05400625e-07,-1.30750000e-01
-3.05240625e-07,-1.25375000e-01
-3.05080625e-07,-8.37500000e-02
-3.04920625e-07,-7.50000000e-02
-3.04760625e-07,-9.91250000e-02
-3.04600625e-07,-1.12000000e-01
-3.04440625e-07,-1.06375000e-01
-3.04280625e-07,-8.93750000e-02
-3.04120625e-07,-9.10000000e-02
-3.03960625e-07,-1.09125000e-01
-3.03800625e-07,-8.13750000e-02
-3.03640625e-07,-4.41250000e-02
-3.03480625e-07,-8.02500000e-02
-3.03320625e-07,-1.20000000e-01
-3.03160625e-07,-1.01000000e-01
-3.03000625e-07,-9.56250000e-02
-3.02840625e-07,-1.10375000e-01
-3.02680625e-07,-9.12500000e-02
-3.02520625e-07,-7.38750000e-02
-3.02360625e-07,-8.77500000e-02
-3.02200625e-07,-1.02000000e-01
-3.02040625e-07,-1.06875000e-01
-3.01880625e-07,-9.93750000e-02
-3.01720625e-07,-8.36250000e-02
-3.01560625e-07,-8.77500000e-02
-3.01400625e-07,-9.82500000e-02
-3.01240625e-07,-8.77500000e-02
-3.01080625e-07,-8.58750000e-02
-3.00920625e-07,-1.02500000e-01
-3.00760625e-07,-9.62500000e-02
-3.00600625e-07,-7.26250000e-02
-3.00440625e-07,-7.50000000e-02
-3.00280625e-07,-9.36250000e-02
-3.00120625e-07,-8.75000000e-02
-2.99960625e-07,-6.57500000e-02
-2.99800625e-07,-7.02500000e-02
-2.99640625e-07,-1.00125000e-01
-2.99480625e-07,-1.11125000e-01
-2.99320625e-07,-8.90000000e-02
-2.99160625e-07,-7.35000000e-02
-2.99000625e-07,-9.16250000e-02
-2.98840625e-07,-1.07375000e-01
-2.98680625e-07,-9.23750000e-02
-2.98520625e-07,-8.87500000e-02
-2.98360625e-07,-1.09750000e-01
-2.98200625e-07,-9.51250000e-02
-2.98040625e-07,-5.35000000e-02
-2.97880625e-07,-5.35000000e-02
