x-axis,1,2,3,4
second,Ampere,Ampere,Ampere,Volt
-410.0000E-06,+41.4573369E-03,+1.2230129871E+00,-98.4552381E-03,+1.9937764341E+00
-409.6625E-06,+41.4573369E-03,+1.3021121886E+00,-100.9678009E-03,+1.9937764341E+00
-409.3250E-06,+41.4573369E-03,+1.1997485161E+00,-103.4803637E-03,+1.9933483678E+00
-408.9875E-06,+41.4573369E-03,+1.1997485161E+00,-104.5970583E-03,+1.9914648763E+00
-408.6500E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9918929426E+00
-408.3125E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9933483678E+00
-407.9750E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-407.6375E-06,+41.4573369E-03,+1.1764840451E+00,-100.5025115E-03,+1.9910368101E+00
-407.3000E-06,+41.4573369E-03,+1.0973848436E+00,-100.5025115E-03,+1.9895813848E+00
-406.9625E-06,+41.4573369E-03,+1.1997485161E+00,-100.0372221E-03,+1.9914648763E+00
-406.6250E-06,+41.4573369E-03,+1.1997485161E+00,-98.4552381E-03,+1.9923210088E+00
-406.2875E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9956599256E+00
-405.9500E-06,+42.3879157E-03,+1.1997485161E+00,-102.5497849E-03,+1.9937764341E+00
-405.6125E-06,+44.6213048E-03,+1.1997485161E+00,-100.9678009E-03,+1.9933483678E+00
-405.2750E-06,+37.3627901E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-404.9375E-06,+40.5267581E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-404.6000E-06,+36.4322113E-03,+1.1997485161E+00,-102.0844955E-03,+1.9914648763E+00
-404.2625E-06,+37.3627901E-03,+1.1997485161E+00,-98.9205275E-03,+1.9914648763E+00
-403.9250E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-403.5875E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-403.2500E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-402.9125E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9910368101E+00
-402.5750E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9891533186E+00
-402.2375E-06,+41.4573369E-03,+1.2230129871E+00,-100.0372221E-03,+1.9895813848E+00
-401.9000E-06,+41.4573369E-03,+1.2788477176E+00,-98.9205275E-03,+1.9918929426E+00
-401.5625E-06,+42.3879157E-03,+1.0973848436E+00,-102.5497849E-03,+1.9933483678E+00
-401.2250E-06,+45.5518836E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-400.8875E-06,+40.5267581E-03,+1.1997485161E+00,-100.5025115E-03,+1.9918929426E+00
-400.5500E-06,+37.3627901E-03,+1.1997485161E+00,-100.5025115E-03,+1.9933483678E+00
-400.2125E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-399.8750E-06,+42.3879157E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-399.5375E-06,+45.5518836E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-399.2000E-06,+41.4573369E-03,+1.1997485161E+00,-101.4330903E-03,+1.9910368101E+00
-398.8625E-06,+42.3879157E-03,+1.1997485161E+00,-104.5970583E-03,+1.9895813848E+00
-398.5250E-06,+45.5518836E-03,+1.1764840451E+00,-100.5025115E-03,+1.9918929426E+00
-398.1875E-06,+41.4573369E-03,+1.0973848436E+00,-100.5025115E-03,+1.9933483678E+00
-397.8500E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9918929426E+00
-397.5125E-06,+41.4573369E-03,+1.1997485161E+00,-100.0372221E-03,+1.9933483678E+00
-397.1750E-06,+41.4573369E-03,+1.1997485161E+00,-98.4552381E-03,+1.9914648763E+00
-396.8375E-06,+42.3879157E-03,+1.1997485161E+00,-100.5025115E-03,+1.9918929426E+00
-396.5000E-06,+45.5518836E-03,+1.1997485161E+00,-100.9678009E-03,+1.9937764341E+00
-396.1625E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9937764341E+00
-395.8250E-06,+42.3879157E-03,+1.1997485161E+00,-100.9678009E-03,+1.9937764341E+00
-395.4875E-06,+45.5518836E-03,+1.1764840451E+00,-102.5497849E-03,+1.9933483678E+00
-395.1500E-06,+41.4573369E-03,+1.0973848436E+00,-100.9678009E-03,+1.9910368101E+00
-394.8125E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9891533186E+00
-394.4750E-06,+41.4573369E-03,+1.2230129871E+00,-100.5025115E-03,+1.9895813848E+00
-394.1375E-06,+41.4573369E-03,+1.3021121886E+00,-100.5025115E-03,+1.9914648763E+00
-393.8000E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9918929426E+00
-393.4625E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9937764341E+00
-393.1250E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9933483678E+00
-392.7875E-06,+41.4573369E-03,+1.1997485161E+00,-100.0372221E-03,+1.9918929426E+00
-392.4500E-06,+42.3879157E-03,+1.2230129871E+00,-97.9899487E-03,+1.9937764341E+00
-392.1125E-06,+45.5518836E-03,+1.3021121886E+00,-98.9205275E-03,+1.9933483678E+00
-391.7750E-06,+40.5267581E-03,+1.1997485161E+00,-103.0150743E-03,+1.9918929426E+00
-391.4375E-06,+37.3627901E-03,+1.1997485161E+00,-103.0150743E-03,+1.9933483678E+00
-391.1000E-06,+41.4573369E-03,+1.2230129871E+00,-102.5497849E-03,+1.9918929426E+00
-390.7625E-06,+41.4573369E-03,+1.2788477176E+00,-100.5025115E-03,+1.9933483678E+00
-390.4250E-06,+41.4573369E-03,+1.0973848436E+00,-100.9678009E-03,+1.9914648763E+00
-390.0875E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9914648763E+00
-389.7500E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9914648763E+00
-389.4125E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9910368101E+00
-389.0750E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9895813848E+00
-388.7375E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9910368101E+00
-388.4000E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9900094511E+00
-388.0625E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9933483678E+00
-387.7250E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-387.3875E-06,+41.4573369E-03,+1.1997485161E+00,-100.0372221E-03,+1.9918929426E+00
-387.0500E-06,+40.5267581E-03,+1.2230129871E+00,-99.3858169E-03,+1.9933483678E+00
-386.7125E-06,+37.3627901E-03,+1.3021121886E+00,-104.1317688E-03,+1.9914648763E+00
-386.3750E-06,+41.4573369E-03,+1.1997485161E+00,-98.4552381E-03,+1.9910368101E+00
-386.0375E-06,+41.4573369E-03,+1.1997485161E+00,-100.0372221E-03,+1.9895813848E+00
